NU_ANO_CENSO;CO_ENTIDADE;NO_AREA_CURSO_PROFISSIONAL;ID_AREA_CURSO_PROFISSIONAL;NO_CURSO_EDUC_PROFISSIONAL;CO_CURSO_EDUC_PROFISSIONAL;QT_CURSO_TEC;QT_MAT_CURSO_TEC;QT_CURSO_TEC_IFTP;QT_MAT_CURSO_TEC_IFTP;QT_CURSO_TEC_NM;QT_MAT_CURSO_TEC_NM;QT_CURSO_TEC_CONC;QT_MAT_CURSO_TEC_CONC;QT_CURSO_TEC_SUBS;QT_MAT_CURSO_TEC_SUBS;QT_CURSO_TEC_IFTP_CT;QT_MAT_CURSO_TEC_IFTP_CT;QT_CURSO_TEC_EJA;QT_MAT_CURSO_TEC_EJA
2025;43134335;Ensino Médio - Curso Normal/Magistério;999;Ensino Médio - Curso Normal/Magistério;99999;1;24;0;0;1;24;0;0;0;0;0;0;0;0
2025;43135307;Ensino Médio - Curso Normal/Magistério;999;Ensino Médio - Curso Normal/Magistério;99999;1;58;0;0;1;58;0;0;0;0;0;0;0;0
2025;43135366;Desenvolvimento educacional e social;2;Secretaria Escolar;2034;1;46;0;0;0;0;0;0;1;46;0;0;0;0
2025;43135366;Gestão e negócios;4;Contabilidade;4053;1;46;0;0;0;0;0;0;1;46;0;0;0;0
2025;43135366;Gestão e negócios;4;Secretariado;4060;1;4;0;0;0;0;0;0;1;4;0;0;0;0
2025;43135366;Gestão e negócios;4;Vendas;4065;1;3;0;0;0;0;0;0;1;3;0;0;0;0
2025;43135994;Ensino Médio - Curso Normal/Magistério;999;Ensino Médio - Curso Normal/Magistério;99999;1;89;0;0;1;89;0;0;0;0;0;0;0;0
2025;43136230;Gestão e negócios;4;Administração;4050;1;34;0;0;0;0;0;0;1;34;0;0;0;0
2025;43136486;Ambiente e saúde;1;Enfermagem;1006;1;23;0;0;0;0;0;0;1;23;0;0;0;0
2025;43137393;Gestão e negócios;4;Outros - Eixo Gestão e Negócios;4999;1;12;0;0;0;0;0;0;1;12;0;0;0;0
2025;43137393;Ensino Médio - Curso Normal/Magistério;999;Ensino Médio - Curso Normal/Magistério;99999;1;42;0;0;1;42;0;0;0;0;0;0;0;0
2025;43138497;Gestão e negócios;4;Contabilidade;4053;1;37;0;0;0;0;0;0;1;37;0;0;0;0
2025;43138497;Ensino Médio - Curso Normal/Magistério;999;Ensino Médio - Curso Normal/Magistério;99999;1;10;0;0;1;10;0;0;0;0;0;0;0;0
2025;43139116;Recursos naturais;12;Agropecuária;12174;1;166;1;166;0;0;0;0;0;0;0;0;0;0
2025;43139116;Recursos naturais;12;Florestas;12178;1;53;1;53;0;0;0;0;0;0;0;0;0;0
2025;43139132;Controle e processos industriais;3;Eletromecânica;3038;1;400;1;314;0;0;0;0;1;86;0;0;0;0
2025;43139132;Controle e processos industriais;3;Eletrotécnica;3040;1;342;1;265;0;0;0;0;1;77;0;0;0;0
2025;43139540;Informação e comunicação;6;Informática;6073;1;4;0;0;0;0;1;4;0;0;0;0;0;0
2025;43139604;Ensino Médio - Curso Normal/Magistério;999;Ensino Médio - Curso Normal/Magistério;99999;1;159;0;0;1;159;0;0;0;0;0;0;0;0
2025;43139680;Controle e processos industriais;3;Automação Industrial;3036;1;154;0;0;0;0;1;65;1;89;0;0;0;0
2025;43139680;Controle e processos industriais;3;Eletroeletrônica;3037;1;24;0;0;0;0;1;6;1;18;0;0;0;0
2025;43139680;Controle e processos industriais;3;Eletromecânica;3038;1;9;0;0;0;0;1;1;1;8;0;0;0;0
2025;43139680;Controle e processos industriais;3;Eletrotécnica;3040;1;100;0;0;0;0;1;22;1;78;0;0;0;0
2025;43139680;Controle e processos industriais;3;Mecânica;3043;1;274;0;0;0;0;1;63;1;211;0;0;0;0
2025;43139680;Controle e processos industriais;3;Mecatrônica;3044;1;177;0;0;0;0;1;71;1;106;0;0;0;0
2025;43139680;Controle e processos industriais;3;Manutenção de Máquinas Industriais;3060;1;14;0;0;0;0;1;5;1;9;0;0;0;0
2025;43139680;Informação e comunicação;6;Informática para Internet;6074;1;39;0;0;0;0;1;31;1;8;0;0;0;0
2025;43139680;Informação e comunicação;6;Desenvolvimento de Sistemas;6082;1;146;0;0;0;0;1;145;1;1;0;0;0;0
2025;43140661;Gestão e negócios;4;Contabilidade;4053;1;24;0;0;0;0;1;1;1;23;0;0;0;0
2025;43140661;Informação e comunicação;6;Informática;6073;1;40;0;0;0;0;1;4;1;36;0;0;0;0
2025;43140661;Informação e comunicação;6;Informática para Internet;6074;1;13;0;0;0;0;1;3;1;10;0;0;0;0
2025;43140866;Recursos naturais;12;Agropecuária;12174;1;324;1;158;0;0;0;0;1;166;0;0;0;0
2025;43141544;Ensino Médio - Curso Normal/Magistério;999;Ensino Médio - Curso Normal/Magistério;99999;1;97;0;0;1;97;0;0;0;0;0;0;0;0
